title,url,url_domain,owner_name,media_type,distribution_type,publication_name,paywall_yn,content_frequency_time,content_frequency_other,content_frequency_guide,nextissue_yn
USATODAY.com,http://www.usatoday.com/,,"Gannett Company, Inc",,,,Daily,,,
The Huffington Post,http://www.huffingtonpost.com/,,,,,,Daily,,,
Los Angeles Times,http://www.latimes.com/,,,,,,Daily,,,
The New York Times,http://www.nytimes.com/,,The New York Times Company,,The New York Times,Yes,Daily,,,
Food Network,http://www.foodnetwork.com/,,,,,,,Episode,,
Travel + Leisure,http://www.travelandleisure.com/,,,,,,Daily,,,Yes
Fodor's,http://www.fodors.com,,,,,,Daily,,,
CNN.com,http://www.cnn.com/,,,,,,Daily,,,
National Geographic,http://www.nationalgeographic.com,,,,,,Daily,,Guide,Yes
Zagat,http://www.zagat.com/,,,,,,Daily,,,
The Daily Meal,http://www.thedailymeal.com/,,,,,,Daily,,,
Travel Channel,http://www.travelchannel.com/,,,,,,,Episode,,
Budget Travel,http://www.budgettravel.com/,,,,,,Daily,,,
Lonely Planet,http://www.lonelyplanet.com/,,,,,,Daily,,,
Eater National,http://eater.com,,,,,,Daily,,,
Thrillist,http://www.thrillist.com/,,,,,,Daily,,,
UTSanDiego.com,http://www.utsandiego.com/,,,,,,Daily,,,
Amusement Today,http://www.amusementtoday.com/,,,Trade Press,,,,Yearly Awards,,
Conde Nast Traveler,http://www.cntraveler.com/,,,,,,Daily,,,Yes
Oyster,http://www.oyster.com,,,,,,Daily,,,
10Best.com,http://www.10best.com/,,"Gannett Company, Inc",,,,,,,
29-95.com,http://www.29-95.com,,,,,,,,,
AAA,http://www.aaa.com/,,,,,,,,,
All About Beer,http://www.allaboutbeer.com/,,,,,,,,,
American Alliance of Museums,http://www.aam-us.org/,,,Non-profit Industry Group,,,,,,
American Mensa,http://us.mensa.org,,,,,,,,,
American Profile,http://www.americanprofile.com/,,,,,,,,,
American Public Media,http://americanpublicmedia.publicradio.org/,,,,,,,,,
AmericanWay,http://www.americanwaymag.com/,,,Airline Publication,,,,,,
America’s Best Online,http://www.americasbestonline.net/,,,,,,,,,
Ames Tribune,http://amestrib.com,,,,,,,,,
Amusing Planet,http://www.amusingplanet.com/,,,,,,,,,
AOL.com,http://www.aol.com/,,,,,,,,,
Architectural Digest,http://www.architecturaldigest.com/,,,,,,,,,Yes
Arrange Your Vacations,http://arrangeyourvacation.com/,,,,,,,,,
Ars Technica,http://arstechnica.com,,,,,,,,,
As Viagens de Alline,http://viagensdealline.com,,,,,,,,,
Austin American-Statesman,http://www.statesman.com/,,,,,,,,,
Austin360.com,http://www.austin360.com/,,,,,,,,,
AZCentral.com,http://www.azcentral.com/,,"Gannett Company, Inc",News,The Arizona Republic,,,,,
Barbecue! Bible,http://barbecuebible.com,,,,,,,,,
BBC,http://www.bbc.com,,,,,,,,,
BedandBreakfast.com,http://www.bedandbreakfast.com/,,,,,,,,,
Bend Oregon Visitor Bureau,http://www.visitbend.com/,,,,,,,,,
Best of the Road,http://www.bestoftheroad.com/,,,,,,,,,
Billboard,http://www.billboard.com,,,,,,,,,
Bleacher Report,http://bleacherreport.com,,,,,,,,,
BnBFinder.com,http://www.bnbfinder.com,,,,,,,,,
Bon Appetit Magazine,http://www.bonappetit.com/,,,,,,,,,Yes
Boston Magazine,http://www.bostonmagazine.com/,,,,,,,,,
Business Insider,http://www.businessinsider.com,,,,,,,,,
Businessweek,http://www.businessweek.com/,,,,,,,,,Yes
Celebrating the Best Bars in the United States,http://www.bucketlistbars.com/,,,,,,,,,
Chattanoogan.com,http://www.chattanoogan.com,,,,,,,,,
Chicago Sun-Times,http://www.suntimes.com/,,,,,,,,,
Chicago Tribune,http://www.chicagotribune.com/,,,,,,,,,
ChicTraveler,http://chictraveler.com/,,,,,,,,,
CHOW,http://www.chow.com/,,,,,,,,,
CityPASS,http://www.citypass.com/?mv_source=platrasha,,,,,,,,,
CNBC,http://www.cnbc.com/,,,,,,,,,
Coast Magazine,http://www.coastmagazine.com/,,,,,,,,,Yes
Coast News Group,http://thecoastnews.com/,,,,,,,,,
Collectors Weekly,http://www.collectorsweekly.com/,,,,,,,,,
Complex,http://www.complex.com/,,,,,,,,,
Cooking Channel TV,http://www.cookingchanneltv.com/,,,,,,,,,
Cool Hunting,http://www.coolhunting.com/,,,,,,,,,
Departures,http://www.departures.com/,,,,,,,,,
Details,http://www.details.com,,,,,,,,,
DiscoverSD,http://www.discoversd.com/,,,,,,,,,
DRAFT Magazine,http://draftmag.com/,,,,,,,,,
Eater San Diego,http://sandiego.eater.com/,,,,,,,,,
Entrepreneur.com,http://www.entrepreneur.com/,,,,,,,,,
Esquire,http://www.esquire.com/,,,,,,,,,Yes
Examiner.com,http://www.examiner.com/,,,,,,,,,
Factory Tours USA,http://www.factorytoursusa.com/,,,,,,,,,
Family Ski Hub,http://www.familyskihub.com/,,,,,,,,,
Family Skiing Directory,http://www.familyskitrips.com/,,,,,,,,,
Financial Times,http://www.ft.com,,,,,,,,,
Findery,blog.findery.com,,,,,,,,,
FINE,http://www.finehomesandliving.com,,,,,,,,,
FirstWeFeast.com,http://firstwefeast.com/,,,,,,,,,
Flavorwire,http://www.flavorwire.com,,,,,,,,,
Food & Wine Magazine,http://www.foodandwine.com/,,,,,,,,,Yes
Food Guy Montreal,http://foodguymontreal.com,,,,,,,,,
Food is my favorite,http://www.foodismyfavorite.com/,,,,,,,,,
Foodbeast,http://www.foodbeast.com/,,,,,,,,,
Forbes.com,http://www.forbes.com/,,,,,,,,,
Four Seasons Luxury Travel Magazine,http://magazine.fourseasons.com/,,,,,,,,,
Fox News,http://www.foxnews.com/,,,,,,,,,
Frommer's,http://www.frommers.com/,,,,,,,,,
Gayot,http://www.gayot.com/,,,,,,,,,
GeekWire,http://www.geekwire.com,,,,,,,,,
Gizmag,http://www.gizmag.com/,,,,,,,,,
Gizmodo,http://gizmodo.com,,,,,,,,,
Gogobot,http://www.gogobot.com,,,,,,,,,
Good Time Design,http://www.goodtimedesignsd.com/,,,,,,,,,
Gothamist,http://gothamist.com/,,,,,,,,,
GQ,http://www.gq.com/,,,,,,,,,Yes
Grub Street,http://www.grubstreet.com/,,,,,,,,,
History.com,http://www.history.com/,,,,,,,,,
Hopper,http://www.hopper.com/,,,,,,,,,
HotelNewsNow.com,http://www.hotelnewsnow.com/,,,,,,,,,
